0,顶级菜单,Root,000,"",fa fa-television,0,"",true,Administrator,2012-10-01 00:00:00.000,false,0x000000000000384D
20140226141743403806953e2cf8af6,上传文件例子,Upload File,201611241127104938174ca14069a09,SysSampleByUpLoad,fa fa-upload,0,,true,admin,2014-02-26 14:17:43.000,true,0x000000000000384E
201407031423352248829979a86e616,我的操作记录,My Log,PersonDocument,SysLog/MyLog,fa fa-history,3,,true,admin,2014-07-03 14:23:35.227,true,0x000000000000384F
201407241558264790957ebaf9fec63,工作流程,Work Flow,0,flow,fa fa-sort-amount-asc,6,,true,admin,2014-07-24 15:58:26.000,false,0x000000000001F419
2014072416001456827811184d8f568,我的申请,My Apply,2016112411212319381743cd4c84fea,Flow/Apply,fa fa-star-o,1,,true,admin,2014-07-24 16:00:14.000,true,0x0000000000003851
20140724160111323524393a36862f6,我的批阅,My Examine ,2016112411212319381743cd4c84fea,Flow/Examine,fa fa-file-text-o,2,,true,admin,2014-07-24 16:01:11.000,true,0x0000000000003852
20140724160317514742081cc11e6e4,流程分类管理,Flow Kind,2014072416041703514641ecf4e17fc,Flow/FlowType,fa fa-cog,4,,true,admin,2014-07-24 16:03:17.517,true,0x0000000000003853
2014072416041703514641ecf4e17fc,流程管理,Flow Manage,201407241558264790957ebaf9fec63,,fa fa-stack-overflow,4,,true,admin,2014-07-24 16:04:17.037,false,0x0000000000003854
2014072416073008218804b9f084b36,模型表单管理,Flow From,2014072416041703514641ecf4e17fc,Flow/Form,fa  fa-map,2,,true,admin,2014-07-24 16:07:30.083,true,0x0000000000003855
201407241609429617883fc6ac31982,所有流程监控,All Flow Track,2014072416041703514641ecf4e17fc,Flow/FlowTrack,fa  fa-bell,3,,true,admin,2014-07-24 16:09:42.963,true,0x0000000000003856
2014072810151508870035cf714dc5d,字段管理,Field Manage,2014072416041703514641ecf4e17fc,Flow/FormAttr,fa fa-list,5,,true,admin,2014-07-28 10:15:15.090,true,0x0000000000003857
201408051046353861313eb85e4ef9b,公司组织架构,Position,DD,SysPosition,fa fa-list,3,公司职位设置,true,admin,2014-08-05 10:46:35.000,true,0x0000000000003858
2014081313224175381911be5492091,起草新申请,New Apply,2016112411212319381743cd4c84fea,Flow/Draf,fa fa-calendar-plus-o,0,,true,admin,2014-08-13 13:22:41.000,true,0x0000000000003859
201605312304598866131890ede44b6,仓储管理,Guide,0,spl,fa  fa-bank,15,,true,admin,2016-05-31 23:04:59.000,false,0x0000000000027115
2016060200402104175466e25a798cf,产品类别,ProductCategory,201611241127104938174ca14069a09,Spl/ProductCategory,fa  fa-puzzle-piece,0,,true,admin,2016-06-02 00:40:21.000,true,0x000000000000385B
201606020040561281897bf62f031c0,报表和万能查询,Product,201611241127104938174ca14069a09,Spl/Product,fa  fa-line-chart,0,,true,admin,2016-06-02 00:40:56.000,true,0x000000000000385C
201606251602070875810f44f87f505,Excel导入和导出,Excel Helper,201611241127104938174ca14069a09,Spl/Person,fa  fa-file-excel-o,0,,true,admin,2016-06-25 16:02:07.000,true,0x000000000000385D
2016080922435852572081e80dd4dd1,ComboTree过滤,ComboTree Fliter,201611241127104938174ca14069a09,Spl/ExtEasyUI/ComboTree,fa fa-puzzle-piece,0,,true,admin,2016-08-09 22:43:58.000,true,0x000000000000385E
